name,latitude,longitude,capacity,region,status
Warehouse-0001,13.071833,77.703991,14840,generated,active
Warehouse-0002,13.058043,77.59227,11406,generated,active
Warehouse-0003,12.946886,77.687652,17845,generated,active
Warehouse-0004,12.787482,77.479601,3004,generated,active
Warehouse-0005,12.922896,77.484355,9730,generated,active
Warehouse-0006,13.008812,77.648692,17433,generated,active
Warehouse-0007,13.002255,77.527569,16186,generated,active
Warehouse-0008,13.204634,77.662157,13651,generated,active
Warehouse-0009,12.909447,77.62379,10987,generated,active
Warehouse-0010,12.941955,77.576841,11181,generated,active
Warehouse-0011,12.896961,77.638161,5831,generated,active
Warehouse-0012,12.98234,77.692254,16364,generated,active
Warehouse-0013,12.887814,77.680671,10711,generated,active
Warehouse-0014,12.979548,77.580366,19002,generated,active
Warehouse-0015,13.014105,77.566973,3541,generated,active
Warehouse-0016,12.76718,77.624792,17231,generated,active
Warehouse-0017,12.877357,77.755181,4108,generated,active
Warehouse-0018,13.079052,77.756893,8490,generated,active
Warehouse-0019,12.922617,77.643663,7278,generated,active
Warehouse-0020,12.93662,77.46192,6806,generated,active
Warehouse-0021,13.134263,77.766429,3619,generated,active
Warehouse-0022,12.836235,77.498544,18933,generated,active
Warehouse-0023,12.830059,77.641031,9368,generated,active
Warehouse-0024,13.040101,77.518115,6231,generated,active
Warehouse-0025,12.987009,77.781439,18814,generated,active
Warehouse-0026,13.026158,77.627907,18022,generated,active
Warehouse-0027,12.927206,77.375971,6437,generated,active
Warehouse-0028,12.988248,77.622624,9076,generated,active
Warehouse-0029,13.082422,77.748918,11089,generated,active
Warehouse-0030,12.890566,77.54989,5005,generated,active
Warehouse-0031,12.994405,77.565766,10299,generated,active
Warehouse-0032,12.953254,77.499305,7888,generated,active
Warehouse-0033,13.027981,77.521964,15671,generated,active
Warehouse-0034,13.103975,77.678124,14608,generated,active
Warehouse-0035,12.95704,77.679968,17659,generated,active
Warehouse-0036,13.02618,77.520587,4705,generated,active
Warehouse-0037,13.085156,77.571918,18512,generated,active
Warehouse-0038,13.017733,77.439275,8577,generated,active
Warehouse-0039,13.264677,77.773139,14545,generated,active
Warehouse-0040,12.840292,77.614195,6377,generated,active
Warehouse-0041,13.02327,77.63704,11852,generated,active
