name,latitude,longitude,capacity,region,status
Bangalore Central Hub,12.9716,77.5946,15000,south,active
Whitefield Tech Park,12.9698,77.7500,9000,south,active
Electronic City Depot,12.8452,77.6602,11000,south,active
Yelahanka North Hub,13.1007,77.5963,7000,south,active
Hebbal Logistics Center,13.0358,77.5970,8500,south,active
Marathahalli Warehouse,12.9591,77.6974,7500,south,active
Banashankari South Depot,12.9255,77.5468,6500,south,active
Kengeri West Hub,12.9077,77.4855,6000,south,active
Hoskote East Center,13.0707,77.7984,5500,south,active
Devanahalli Airport Hub,13.2517,77.7080,10000,south,active
